topic,polarity_score
aisle,0.11028697674418611
booking,0.12555591836734692
comfort,0.7870245454545457
covid,-0.17856666666666668
delay,0.512241463414634
entertainment,0.8013137254901959
family,-0.19868619402985066
food,0.16806853932584262
galley,0.0714564102564103
lounge,0.7380888778550143
luggage,-0.29424889867841403
movies,-0.009200000000000012
noise,-0.0366421052631579
other,0.22982018606849652
pets,-0.14122786885245908
seats,0.19879045454545463
sleep,0.6709117021276596
space,-0.02712066666666658
storage,-0.22306764705882354
toilets,0.20755971223021583
wheelchair,0.6561786885245899
windows,-0.0639672727272727
